Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,2229
design__instance__area,3613.47
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0000556043851247523
power__switching__total,0.000013682537428394426
power__leakage__total,2.195110759828367E-9
power__total,0.0000692891189828515
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2530913605883472
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2507184530951298
timing__hold__ws__corner:nom_tt_025C_1v80,0.3132794667909524
timing__setup__ws__corner:nom_tt_025C_1v80,21.96586796849942
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.313279
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,22.771425
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2546312677226294
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2506836476023234
timing__hold__ws__corner:nom_ss_100C_1v60,0.8472917052237883
timing__setup__ws__corner:nom_ss_100C_1v60,20.66109830592174
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.847292
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,20.661098
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2525651981265208
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2507317757718021
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11363996176835885
timing__setup__ws__corner:nom_ff_n40C_1v95,22.23924574110109
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.113640
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,23.521940
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2521203872591246
clock__skew__worst_setup,0.2504642120153002
timing__hold__ws,0.11175197195043654
timing__setup__ws,20.626047231775384
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.111752
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,20.626047
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 400.0 400.0
design__core__bbox,5.52 10.88 394.22 388.96
design__io,36
design__die__area,160000
design__core__area,146960
design__instance__count__stdcell,2229
design__instance__area__stdcell,3613.47
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.0245881
design__instance__utilization__stdcell,0.0245881
design__instance__count__class:inverter,2
design__instance__count__class:sequential_cell,16
design__instance__count__class:multi_input_combinational_cell,59
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,14856
design__instance__count__class:tap_cell,2115
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,2678.21
design__violations,0
design__instance__count__class:timing_repair_buffer,31
design__instance__count__class:clock_buffer,3
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,14
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,3
antenna_diodes_count,1
route__net,113
route__net__special,2
route__drc_errors__iter:1,39
route__wirelength__iter:1,2719
route__drc_errors__iter:2,3
route__wirelength__iter:2,2704
route__drc_errors__iter:3,1
route__wirelength__iter:3,2708
route__drc_errors__iter:4,0
route__wirelength__iter:4,2708
route__drc_errors,0
route__wirelength,2708
route__vias,608
route__vias__singlecut,608
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,674.98
timing__unannotated_net__count__corner:nom_tt_025C_1v80,16
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,16
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,16
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2527882974496289
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25048927530078996
timing__hold__ws__corner:min_tt_025C_1v80,0.3091206267342378
timing__setup__ws__corner:min_tt_025C_1v80,21.977686070886186
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.309121
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
